source,ipo_name,title,media,date,desc,link
GoogleNews,Rubicon Research,Deepinder Goyal Invests $25M in Longevity Research,Rediff MoneyWiz,9 hours ago,"Eternal CEO Deepinder Goyal invests $25M in 'Continue Research', a venture focused on health, longevity, and extending healthy human function.",https://money.rediff.com/amp/news/market/deepinder-goyal-invests-25m-in-longevity-research/35811720251024&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIAxAC&usg=AOvVaw2PNXLLYD1o4uvoTSnDiQ8p
GoogleNews,Rubicon Research,"Canara Robeco vs Rubicon Research vs Canara HSBC Life IPO: Subscription status, GMP & more",MSN,2 days ago,"Three mainboard IPOs- Canara Robeco AMC, Rubicon Research and Canara HSBC Life Insurance- are open for investors for subscription currently,...",https://www.msn.com/en-in/money/other/canara-robeco-vs-rubicon-research-vs-canara-hsbc-life-ipo-subscription-status-gmp-more/ar-AA1OlSNn%3Focid%3DBingNewsVerp&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIBhAC&usg=AOvVaw0U1ByNELV68c7hd0PfzoPq
GoogleNews,Rubicon Research,Rubicon Research files addendum to DRHP with Q1 results; Ebitda grows 6 fold in 3 fiscals,MSN,2 days ago,"Rubicon Research, a pharmaceutical formulations firm, has filed an addendum to its draft red herring prospectus with the Securities and Exchange Board of...",http://www.msn.com/en-in/money/topstories/rubicon-research-files-addendum-to-drhp-with-q1-results-ebitda-grows-6-fold-in-3-fiscals/ar-AA1KS0Qh%3Focid%3Dfinance-verthp-feeds%26apiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIChAC&usg=AOvVaw0wdh526jf8lV9EK1USUKux
GoogleNews,Rubicon Research,Rubicon Research IPO listing date today. Here’s what GMP signals on share debut,MSN,2 days ago,"Rubicon Research IPO listing is set for today at 10:00 IST on BSE and NSE. The IPO was well-received, with subscriptions from NIIs at 97.61 times and QIBs...",http://www.msn.com/en-in/money/markets/rubicon-research-ipo-listing-date-today-here-s-what-gmp-signals-on-share-debut/ar-AA1Oys79%3Fapiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIBxAC&usg=AOvVaw15rLZ5724FeVKASb4em0od
GoogleNews,Rubicon Research,"Rubicon Research IPO Day 3: GMP, subscription status, brokerage views, and key highlights",MSN,2 days ago,"Rubicon Research's IPO, backed by Arihant Capital with a “Subscribe” rating, highlights the company's strong growth and diversified pharma portfolio.",http://www.msn.com/en-in/money/markets/rubicon-research-ipo-day-3-gmp-subscription-status-brokerage-views-and-key-highlights/ar-AA1Ol8Pl%3Focid%3Dfinance-verthp-feeds%26apiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQICBAC&usg=AOvVaw2Np0cAccO3UGrdQe6XhdJv
GoogleNews,Rubicon Research,Rubicon Research Unit Enters Agreement with Gen1E Lifesciences Inc.,scanx.trade,3 days ago,"A unit of Rubicon Research, a prominent pharmaceutical company, has entered into an agreement with Gen1E Lifesciences Inc. The specific details, nature,...",https://scanx.trade/stock-market-news/orders-deals/rubicon-research-unit-enters-agreement-with-gen1e-lifesciences-inc/22602545&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQICRAC&usg=AOvVaw279kgumNHLqhfKqIUjCOHC
GoogleNews,Rubicon Research,Top pharmaceutical stock: Zydus Lifesciences vs Rubicon Research | Stock Market News,Mint,3 days ago,Zydus Lifesciences and Rubicon Research are shaping India's pharma growth story. Which pharmaceutical stock offers better investment potential in 2025 and...,https://www.livemint.com/market/stock-market-news/top-pharmaceutical-stock-zydus-lifesciences-vs-rubicon-research-indian-pharma-industry-11761027272440.html&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIAhAC&usg=AOvVaw3exmwzH3zN0272mWKTk6DF
GoogleNews,Rubicon Research,"Rubicon Research IPO allotment: How to check status, GMP and listing outlook",MSN,5 days ago,"Rubicon Research's Rs 1377 crore IPO concluded with strong investor demand, oversubscribing 109.35 times. The share allotment is scheduled for October 14,...",https://www.msn.com/en-in/money/news/rubicon-research-ipo-allotment-how-to-check-status-gmp-and-listing-outlook/ar-AA1Op5tI%3Fapiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIBRAC&usg=AOvVaw2D8YPYjNJdatAO9Ka0SoWi
GoogleNews,Rubicon Research,Healthy start! Rubicon Research shares list at 28% premium over IPO price,MSN,5 days ago,"Rubicon Research Share Price debuted on stock exchanges with a significant 27.9% premium, opening at Rs 620. The Rs 1377 crore IPO saw overwhelming demand,...",https://www.msn.com/en-in/money/markets/healthy-start-rubicon-research-shares-list-at-28-premium-over-ipo-price/ar-AA1OzaI2%3Fapiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIBBAC&usg=AOvVaw1IFW6s-E5Q6A3x1lV4A6SH
GoogleNews,Rubicon Research,"Rubicon Research IPO listing tomorrow: Here’s what GMP, subscription status hint ahead of debut",MSN,6 days ago,"Rubicon Research IPO listing is on October 16, following a successful subscription period. The grey market signals a potential listing price of ₹628,...",https://www.msn.com/en-in/money/markets/rubicon-research-ipo-listing-tomorrow-here-s-what-gmp-subscription-status-hint-ahead-of-debut/ar-AA1Ow14n%3Focid%3Dfinance-verthp-feeds%26apiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwixoaqhyb2QAxXh3DgGHdSRD2YQxfQBegQIARAC&usg=AOvVaw2L0A3InzuDsN5SUNaBoJjs
GoogleNews,Canara Robeco Asset Management,"Canara Robeco vs Rubicon Research vs Canara HSBC Life IPO: Subscription status, GMP & more",MSN,2 days ago,"Three mainboard IPOs- Canara Robeco Asset Management Company, Rubicon Research and Canara HSBC Life Insurance Company- are open for investors for bidding.",https://www.msn.com/en-in/money/other/canara-robeco-vs-rubicon-research-vs-canara-hsbc-life-ipo-subscription-status-gmp-more/ar-AA1OlSNn%3Focid%3DBingNewsVerp&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQIBhAC&usg=AOvVaw3x-aiWTmmWpb0IkzewwwN4
GoogleNews,Canara Robeco Asset Management,Canara Robeco Asset Management Company Limited adds a musical twist to investing with GOAL SIP jingle,Adgully.com,2 days ago,Canara Robeco Asset Management Company Limited has taken a creative leap in investor communication by giving its Goal SIP feature a musical expression.,https://www.adgully.com/post/8105/canara-robeco-asset-management-company-limited-adds-a-musical-twist-to-investing-with-goal-sip-jingle&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQIBRAC&usg=AOvVaw0f8NwSX9wGRv0YbPsC74jV
GoogleNews,Canara Robeco Asset Management,Canara Robeco IPO listing date on Thursday: What GMP signals for the share debut,MSN,2 days ago,"The initial public offering (IPO) of Canara Robeco Asset Management Company was a success, having seen a nearly 10 times overall subscription.",https://www.msn.com/en-in/money/markets/canara-robeco-ipo-listing-date-on-thursday-what-gmp-signals-for-the-share-debut/ar-AA1OuGG0%3Focid%3Dfinance-verthp-feeds%26apiversion%3Dv2%26domshim%3D1%26noservercache%3D1%26noservertelemetry%3D1%26batchservertelemetry%3D1%26renderwebcomponents%3D1%26wcseo%3D1&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQIChAC&usg=AOvVaw2QVk5xG6_pvPvu-Dm8izHj
GoogleNews,Canara Robeco Asset Management,Yields unlikely to drop sharply; favour short-to-medium bonds: Avnish Jain,Business Standard,5 days ago,"The Reserve Bank of India (RBI) has indicated the possibility of further easing in interest rates, but its 'neutral' stance suggests any additional cuts are...",https://www.business-standard.com/markets/interviews/yields-unlikely-to-drop-sharply-favour-short-to-medium-bonds-avnish-jain-125101900394_1.html&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQIAhAC&usg=AOvVaw0eZHV0SA7D2pfQTUgqGl0l
GoogleNews,Canara Robeco Asset Management,Canara Robeco AMC confident of sustaining 30% growth momentum post-listing,CNBC TV18,6 days ago,Canara Robeco AMC's Managing Director and CEO Rajnish Narula said the mutual fund house will continue to rely on an investment-led strategy and strong...,https://www.cnbctv18.com/business/canara-robeco-amc-listing-share-price-growth-guidance-19721555.htm&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQIBBAC&usg=AOvVaw2f9g1Ro9DPMLQCc2JQhW74
GoogleNews,Canara Robeco Asset Management,Canara Robeco launches GOAL SIP campaign to encourage goal-based investment,Cafemutual,6 days ago,"The jingle, 'Plan hai sahi, plan hai yahi, Goal SIP karke meri life hai chali', is designed to make the concept of goal-linked investing more memorable,...",https://cafemutual.com/news/industry/36053-canara-robeco-launches-goal-sip-campaign-to-encourage-goal-based-investment&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQICRAC&usg=AOvVaw310h_D1upxr4g266ZJ7Nll
GoogleNews,Canara Robeco Asset Management,4 Stocks in focus after prominent investors bought and sold shares via block & bulk deals,Trade Brains,1 week ago,"Stocks are drawing attention as major investors adjust holdings through block and bulk deals, reflecting strategic portfolio moves.",https://tradebrains.in/4-stocks-in-focus-after-prominent-investors-bought-and-sold-shares-via-block-bulk-deals/&ved=2ahUKEwil2qaiyb2QAxVEyzgGHaWAAcgQxfQBegQIARAC&usg=AOvVaw1xUUnpkOx0g19YNWKWL2Ts
